cpc3,cpc.name,tech,supply_chain,sub_sector,n_hs6,hs6_list
464,"Accumulators, primary cells & primary batteries; parts",Batteries,Midstream,Cell manufacturing,1,850760
464,"Accumulators, primary cells & primary batteries; parts",Batteries,Midstream,Module assembly,1,850780
464,"Accumulators, primary cells & primary batteries; parts",Batteries,Midstream,Pack + BMS,1,850790
464,"Accumulators, primary cells & primary batteries; parts",Batteries,Upstream,Cases,1,850790
464,"Accumulators, primary cells & primary batteries; parts",Electric Vehicles,Midstream,Final vehicle assembly,2,"850760,850790"
471,Electronic valves & tubes; electronic components; parts,Electric Grid,Midstream,Cables & accessories,1,853210
471,Electronic valves & tubes; electronic components; parts,Offshore Wind,Midstream,Array,1,853210
471,Electronic valves & tubes; electronic components; parts,Solar,Midstream,Cabling,1,853210
471,Electronic valves & tubes; electronic components; parts,Solar,Midstream,Module,2,"854142,854143"
471,Electronic valves & tubes; electronic components; parts,Solar,Midstream,Module assembly,2,"854142,854143"
471,Electronic valves & tubes; electronic components; parts,Wind,Midstream,Array,1,853210
482,"Instruments & control equipment, except optical instruments",Electric Grid,Midstream,Cables & accessories,2,"902830,902890"
482,"Instruments & control equipment, except optical instruments",Gas,Midstream,LNG/LPG equipment,1,902810
482,"Instruments & control equipment, except optical instruments",Offshore Wind,Midstream,Array,2,"902830,902890"
482,"Instruments & control equipment, except optical instruments",Offshore Wind,Midstream,Substation,2,"902830,902890"
482,"Instruments & control equipment, except optical instruments",Oil,Midstream,Fuels & storage,1,902810
482,"Instruments & control equipment, except optical instruments",Solar,Midstream,BOS,2,"902830,902890"
482,"Instruments & control equipment, except optical instruments",Solar,Midstream,Cabling,2,"902830,902890"
482,"Instruments & control equipment, except optical instruments",Wind,Midstream,Array,2,"902830,902890"
482,"Instruments & control equipment, except optical instruments",Wind,Midstream,Substation,2,"902830,902890"
491,"Motor vehicles, trailers & semi-trailers; parts",Electric Vehicles,Midstream,Final vehicle assembly,9,"870124,870240,870340,870350,870360,870370,870380,870460,870490"
491,"Motor vehicles, trailers & semi-trailers; parts",Gas,Midstream,LNG/LPG equipment,1,870520
491,"Motor vehicles, trailers & semi-trailers; parts",Oil,Midstream,Fuels & storage,1,870520
493,Ships,Gas,Midstream,LNG/LPG equipment,3,"890120,890520,890590"
493,Ships,Oil,Midstream,Fuels & storage,3,"890120,890520,890590"
499,Other transport equipment & parts,Electric Vehicles,Midstream,Final vehicle assembly,1,871160
