tech,supply_chain,sub_sector,hs6,essential
Solar,Midstream,Inverters & Power Electronics,850440,TRUE
Solar,Midstream,Inverters & Power Electronics,850490,TRUE
Solar,Midstream,Inverters & Power Electronics,853710,TRUE
Solar,Midstream,Inverters & Power Electronics,853720,TRUE
Solar,Midstream,Inverters & Power Electronics,854129,TRUE
Solar,Midstream,Inverters & Power Electronics,854130,TRUE
Solar,Midstream,Inverters & Power Electronics,854190,TRUE
Solar,Midstream,Polysilicon & Wafers,280461,TRUE
Solar,Midstream,Polysilicon & Wafers,381800,TRUE
Solar,Midstream,"Racking, Mounting & Trackers",730890,TRUE
Solar,Midstream,"Racking, Mounting & Trackers",761090,TRUE
Solar,Midstream,"Racking, Mounting & Trackers",850131,TRUE
Solar,Midstream,"Racking, Mounting & Trackers",850132,TRUE
Solar,Midstream,Solar Cabling & Connectors,281290,TRUE
Solar,Midstream,Solar Cabling & Connectors,440311,FALSE
Solar,Midstream,Solar Cabling & Connectors,440312,FALSE
Solar,Midstream,Solar Cabling & Connectors,440321,FALSE
Solar,Midstream,Solar Cabling & Connectors,440323,FALSE
Solar,Midstream,Solar Cabling & Connectors,440324,FALSE
Solar,Midstream,Solar Cabling & Connectors,440325,FALSE
Solar,Midstream,Solar Cabling & Connectors,681510,TRUE
Solar,Midstream,Solar Cabling & Connectors,731210,TRUE
Solar,Midstream,Solar Cabling & Connectors,740811,TRUE
Solar,Midstream,Solar Cabling & Connectors,740819,TRUE
Solar,Midstream,Solar Cabling & Connectors,741300,TRUE
Solar,Midstream,Solar Cabling & Connectors,761410,TRUE
Solar,Midstream,Solar Cabling & Connectors,761490,TRUE
Solar,Midstream,Solar Cabling & Connectors,853210,TRUE
Solar,Midstream,Solar Cabling & Connectors,854420,TRUE
Solar,Midstream,Solar Cabling & Connectors,854442,TRUE
Solar,Midstream,Solar Cabling & Connectors,854449,TRUE
Solar,Midstream,Solar Cabling & Connectors,854460,TRUE
Solar,Midstream,Solar Cabling & Connectors,854470,FALSE
Solar,Midstream,Solar Cabling & Connectors,854610,FALSE
Solar,Midstream,Solar Cabling & Connectors,854620,TRUE
Solar,Midstream,Solar Cabling & Connectors,902830,TRUE
Solar,Midstream,Solar Cabling & Connectors,902890,FALSE
Solar,Midstream,Solar Cell Manufacturing Equipment,848610,TRUE
Solar,Midstream,Solar Cell Manufacturing Equipment,848620,TRUE
Solar,Midstream,Solar Cell Manufacturing Equipment,848690,TRUE
Solar,Midstream,Solar Cells,854142,TRUE
Solar,Midstream,Solar Module Assembly & Inputs,700719,TRUE
Solar,Midstream,Solar Module Assembly & Inputs,853690,TRUE
Solar,Midstream,Solar Modules,850171,TRUE
Solar,Midstream,Solar Modules,850172,TRUE
Solar,Midstream,Solar Modules,850180,TRUE
Solar,Midstream,Solar Modules,854143,TRUE
Solar,Midstream,Transformers,850421,TRUE
Solar,Midstream,Transformers,850422,TRUE
Solar,Midstream,Transformers,850423,TRUE
Solar,Midstream,Transformers,850431,TRUE
Solar,Midstream,Transformers,850432,TRUE
Solar,Midstream,Transformers,850433,TRUE
Solar,Midstream,Transformers,850434,TRUE
Gas,Upstream,Butadiene,271114,TRUE
Gas,Upstream,Butane,271113,TRUE
Gas,Upstream,Butane,271129,TRUE
Gas,Upstream,Ethane,271119,TRUE
Gas,Upstream,Natural Gas,271111,TRUE
Gas,Upstream,Natural Gas,271121,TRUE
Gas,Upstream,Propane,271112,TRUE
Gas,Midstream,LNG/LPG Equipment,731100,FALSE
Gas,Midstream,LNG/LPG Equipment,820713,TRUE
Gas,Midstream,LNG/LPG Equipment,820719,TRUE
Gas,Midstream,LNG/LPG Equipment,840211,TRUE
Gas,Midstream,LNG/LPG Equipment,840212,TRUE
Gas,Midstream,LNG/LPG Equipment,840219,TRUE
Gas,Midstream,LNG/LPG Equipment,840220,TRUE
Gas,Midstream,LNG/LPG Equipment,840290,TRUE
Gas,Midstream,LNG/LPG Equipment,840310,TRUE
Gas,Midstream,LNG/LPG Equipment,840390,TRUE
Gas,Midstream,LNG/LPG Equipment,840410,TRUE
Gas,Midstream,LNG/LPG Equipment,840420,TRUE
Gas,Midstream,LNG/LPG Equipment,840490,TRUE
Gas,Midstream,LNG/LPG Equipment,840510,TRUE
Gas,Midstream,LNG/LPG Equipment,840590,TRUE
Gas,Midstream,LNG/LPG Equipment,840681,TRUE
Gas,Midstream,LNG/LPG Equipment,840682,TRUE
Gas,Midstream,LNG/LPG Equipment,840690,TRUE
Gas,Midstream,LNG/LPG Equipment,841111,TRUE
Gas,Midstream,LNG/LPG Equipment,841112,TRUE
Gas,Midstream,LNG/LPG Equipment,841181,TRUE
Gas,Midstream,LNG/LPG Equipment,841182,TRUE
Gas,Midstream,LNG/LPG Equipment,841191,TRUE
Gas,Midstream,LNG/LPG Equipment,841199,TRUE
Gas,Midstream,LNG/LPG Equipment,841350,TRUE
Gas,Midstream,LNG/LPG Equipment,841360,TRUE
Gas,Midstream,LNG/LPG Equipment,841382,TRUE
Gas,Midstream,LNG/LPG Equipment,841392,TRUE
Gas,Midstream,LNG/LPG Equipment,841960,TRUE
Gas,Midstream,LNG/LPG Equipment,842129,TRUE
Gas,Midstream,LNG/LPG Equipment,842890,TRUE
Gas,Midstream,LNG/LPG Equipment,843041,TRUE
Gas,Midstream,LNG/LPG Equipment,843049,TRUE
Gas,Midstream,LNG/LPG Equipment,843139,TRUE
Gas,Midstream,LNG/LPG Equipment,843143,TRUE
Gas,Midstream,LNG/LPG Equipment,843149,TRUE
Gas,Midstream,LNG/LPG Equipment,847410,TRUE
Gas,Midstream,LNG/LPG Equipment,847420,TRUE
Gas,Midstream,LNG/LPG Equipment,847490,FALSE
Gas,Midstream,LNG/LPG Equipment,847982,TRUE
Gas,Midstream,LNG/LPG Equipment,847989,TRUE
Gas,Midstream,LNG/LPG Equipment,870520,TRUE
Gas,Midstream,LNG/LPG Equipment,890120,TRUE
Gas,Midstream,LNG/LPG Equipment,890520,TRUE
Gas,Midstream,LNG/LPG Equipment,890590,TRUE
Gas,Midstream,LNG/LPG Equipment,902810,TRUE
Gas,Midstream,Pipelines,730411,FALSE
Gas,Midstream,Pipelines,730419,FALSE
Gas,Midstream,Pipelines,730422,FALSE
Gas,Midstream,Pipelines,730423,FALSE
Gas,Midstream,Pipelines,730424,FALSE
Gas,Midstream,Pipelines,730429,FALSE
Gas,Midstream,Pipelines,730511,FALSE
Gas,Midstream,Pipelines,730512,FALSE
Gas,Midstream,Pipelines,730519,FALSE
Gas,Midstream,Pipelines,730520,FALSE
Gas,Midstream,Pipelines,730611,FALSE
Gas,Midstream,Pipelines,730619,FALSE
Gas,Midstream,Pipelines,730621,FALSE
Gas,Midstream,Pipelines,730629,FALSE
Electric Grid,Upstream,Electricity,271600,TRUE
Electric Grid,Midstream,Circuit Breakers,853521,TRUE
Electric Grid,Midstream,Circuit Breakers,853529,TRUE
Electric Grid,Midstream,Electrical Steel (GOES),722511,TRUE
Electric Grid,Midstream,Electrical Steel (GOES),722519,TRUE
Electric Grid,Midstream,Electrical Steel (GOES),722611,TRUE
Electric Grid,Midstream,Electrical Steel (GOES),722619,TRUE
Electric Grid,Midstream,Grid Automation & Control Equipment,851762,TRUE
Electric Grid,Midstream,Grid Automation & Control Equipment,903289,TRUE
Electric Grid,Midstream,Grid Cables & Accessories,281290,TRUE
Electric Grid,Midstream,Grid Cables & Accessories,440311,FALSE
Electric Grid,Midstream,Grid Cables & Accessories,440312,FALSE
Electric Grid,Midstream,Grid Cables & Accessories,440321,FALSE
Electric Grid,Midstream,Grid Cables & Accessories,440323,FALSE
Electric Grid,Midstream,Grid Cables & Accessories,440324,FALSE
Electric Grid,Midstream,Grid Cables & Accessories,440325,FALSE
Electric Grid,Midstream,Grid Cables & Accessories,681510,TRUE
Electric Grid,Midstream,Grid Cables & Accessories,731210,TRUE
Electric Grid,Midstream,Grid Cables & Accessories,740811,TRUE
Electric Grid,Midstream,Grid Cables & Accessories,740819,TRUE
Electric Grid,Midstream,Grid Cables & Accessories,741300,TRUE
Electric Grid,Midstream,Grid Cables & Accessories,761410,TRUE
Electric Grid,Midstream,Grid Cables & Accessories,761490,TRUE
Electric Grid,Midstream,Grid Cables & Accessories,854420,TRUE
Electric Grid,Midstream,Grid Cables & Accessories,854442,TRUE
Electric Grid,Midstream,Grid Cables & Accessories,854449,TRUE
Electric Grid,Midstream,Grid Cables & Accessories,854460,TRUE
Electric Grid,Midstream,Grid Cables & Accessories,854470,FALSE
Electric Grid,Midstream,Grid Cables & Accessories,854610,FALSE
Electric Grid,Midstream,Grid Cables & Accessories,854620,TRUE
Electric Grid,Midstream,Grid Control Panels,853710,TRUE
Electric Grid,Midstream,Grid Control Panels,853720,TRUE
Electric Grid,Midstream,Grid Metering Equipment,902830,TRUE
Electric Grid,Midstream,Grid Metering Equipment,902830,FALSE
Electric Grid,Midstream,Grid Metering Equipment,902890,TRUE
Electric Grid,Midstream,Grid Metering Equipment,902890,FALSE
Electric Grid,Midstream,Other High-Voltage Apparatus,853590,TRUE
Electric Grid,Midstream,Power Capacitors & Fuses,853210,TRUE
Electric Grid,Midstream,Power Capacitors & Fuses,853510,TRUE
Electric Grid,Midstream,Power Converters & Parts,850440,TRUE
Electric Grid,Midstream,Power Converters & Parts,850490,TRUE
Electric Grid,Midstream,Power Converters & Parts,854129,TRUE
Electric Grid,Midstream,Power Converters & Parts,854130,TRUE
Electric Grid,Midstream,Surge Arresters,853540,TRUE
Electric Grid,Midstream,Switchgear,853530,TRUE
Electric Grid,Midstream,Transformers,850421,TRUE
Electric Grid,Midstream,Transformers,850422,TRUE
Electric Grid,Midstream,Transformers,850423,TRUE
Electric Grid,Midstream,Transformers,850431,TRUE
Electric Grid,Midstream,Transformers,850432,TRUE
Electric Grid,Midstream,Transformers,850433,TRUE
Electric Grid,Midstream,Transformers,850434,TRUE
Semiconductors,Midstream,Discrete Semiconductors,854110,TRUE
Semiconductors,Midstream,Discrete Semiconductors,854121,TRUE
Semiconductors,Midstream,Discrete Semiconductors,854129,TRUE
Semiconductors,Midstream,Discrete Semiconductors,854130,TRUE
Semiconductors,Midstream,Integrated Circuit Parts,854290,TRUE
Semiconductors,Midstream,Integrated Circuits,854231,TRUE
Semiconductors,Midstream,Integrated Circuits,854232,TRUE
Semiconductors,Midstream,Integrated Circuits,854233,TRUE
Semiconductors,Midstream,Integrated Circuits,854239,TRUE
Semiconductors,Midstream,Piezoelectric Components,854160,TRUE
Semiconductors,Midstream,Semiconductor Device Parts,854190,TRUE
Semiconductors,Midstream,Semiconductor Equipment Parts,848690,TRUE
Semiconductors,Midstream,Semiconductor Manufacturing Equipment,848610,TRUE
Semiconductors,Midstream,Semiconductor Manufacturing Equipment,848620,TRUE
